"id","name_es","name_en","legacy_id","isDisabled","published_at","created_by","updated_by","created_at","updated_at"
1,"Mediterránea","Mediterranean","25GTvg4crjZ4WNgjct1Z",0,"2021-01-20 14:34:54",NULL,NULL,"2021-01-20 14:34:54","2021-01-20 14:34:54"
2,"Gallega","Galician","72irklZj7lUksEjnRxzU",0,"2021-01-20 14:34:56",NULL,2,"2021-01-20 14:34:56","2021-01-27 09:46:16"
3,"Pescados y Mariscos","Seafood","8Q8yCUeS2KR1BzmU0dAO",0,"2021-01-20 14:34:58",NULL,NULL,"2021-01-20 14:34:58","2021-01-20 14:34:58"
4,"Vasca","Basque","B2RHn4ZKulmauobR4mW2",0,"2021-01-20 14:35:00",NULL,3,"2021-01-20 14:35:00","2021-02-21 22:54:55"
5,"Italiana","Italian","CRT5xwekz0qEVTFtYlqr",0,"2021-01-20 14:35:02",NULL,NULL,"2021-01-20 14:35:02","2021-01-20 14:35:02"
6,"Asiática","Asian","CozdtxNzTooLoHCbGrKk",0,"2021-01-20 14:35:04",NULL,NULL,"2021-01-20 14:35:04","2021-01-20 14:35:04"
7,"Coreana","Korean","Gzxab4UBXkB261GKPvpB",0,"2021-01-20 14:35:06",NULL,NULL,"2021-01-20 14:35:06","2021-01-20 14:35:06"
8,"India","Indian","JgHntUFc8BOipZLMj6XO",0,"2021-01-20 14:35:08",NULL,NULL,"2021-01-20 14:35:08","2021-01-20 14:35:08"
9,"Alemana","German","OX2YSuAvJklfXJbzJyC9",0,"2021-01-20 14:35:10",NULL,NULL,"2021-01-20 14:35:10","2021-01-20 14:35:10"
10,"Inglesa","English","P2ONU2oUzhHGeFayfBRz",0,"2021-01-20 14:35:13",NULL,NULL,"2021-01-20 14:35:13","2021-01-20 14:35:13"
11,"Peruana","Peruvian","ULtpj7tr6EUtkz6t0asF",0,"2021-01-20 14:35:15",NULL,NULL,"2021-01-20 14:35:15","2021-01-20 14:35:15"
12,"Africana","African","WPdKeVwz6lUPWFUr5fqN",0,"2021-01-20 14:35:17",NULL,NULL,"2021-01-20 14:35:17","2021-01-20 14:35:17"
13,"Japonesa","Japanese","hDfojuPd54UaxblEUzCZ",0,"2021-01-20 14:35:19",NULL,NULL,"2021-01-20 14:35:19","2021-01-20 14:35:19"
14,"Canaria","Canaria","n0wfX8FtocPJH0i7xtCy",0,"2021-01-20 14:35:21",NULL,NULL,"2021-01-20 14:35:21","2021-01-20 14:35:21"
15,"Americana","American","oIVJmLqDWV9eZNrOWrPW",0,"2021-01-20 14:35:23",NULL,NULL,"2021-01-20 14:35:23","2021-01-20 14:35:23"
16,"China","Chinese","vDKK4RseUVsu2vqvJG3t",0,"2021-01-20 14:35:25",NULL,NULL,"2021-01-20 14:35:25","2021-01-20 14:35:25"
17,"Mexicana","Mexican","vRTnp6ieZV1sGCpd3d9M",0,"2021-01-20 14:35:27",NULL,NULL,"2021-01-20 14:35:27","2021-01-20 14:35:27"
18,"Francesa","French","vl0pTaPytEtYuTc2CoIt",0,"2021-01-20 14:35:29",NULL,NULL,"2021-01-20 14:35:29","2021-01-20 14:35:29"
19,"Española","Spanish","xVPQ1eJ8aGTRk0IXXLMB",0,"2021-01-20 14:35:31",NULL,NULL,"2021-01-20 14:35:31","2021-01-20 14:35:31"
20,"Carnes y Barbacoa","Grill","zcUVDFXvFLTTQoQHSyms",0,"2021-01-20 14:35:33",NULL,NULL,"2021-01-20 14:35:33","2021-01-20 14:35:33"
21,"Libanesa","Lebanese",NULL,0,"2021-02-03 11:40:55",2,2,"2021-02-03 11:40:53","2021-02-03 11:40:55"
22,"Asturiana","Asturian",NULL,0,NULL,3,3,"2021-03-02 17:13:01","2021-03-05 10:28:06"
23,"Arroces","Rice",NULL,0,NULL,2,2,"2021-05-04 23:18:34","2021-05-04 23:18:34"
24,"Tradicional Renovada","Reinvented Traditional",NULL,0,NULL,2,2,"2021-05-08 15:25:09","2021-05-08 15:25:09"
25,"Alta Cocina","Fine Dining",NULL,0,NULL,2,2,"2021-05-10 16:05:51","2021-05-10 16:05:51"
