"id","name_es","name_en","published_at","created_by","updated_by","created_at","updated_at","legacy_id","isDisabled"
24,"Alonso Martínez","Alonso Martínez","2021-01-20 15:37:50",NULL,NULL,"2021-01-20 15:37:50","2021-01-20 15:37:50","0sBtE5SNFcUMcBkF7ZvE",0
25,"La Latina","La Latina","2021-01-20 15:37:52",NULL,NULL,"2021-01-20 15:37:52","2021-01-20 15:37:52","7BV8eb16Czf6rsid9F8U",0
26,"Valdemoro","Valdemoro","2021-01-20 15:37:55",NULL,NULL,"2021-01-20 15:37:55","2021-01-20 15:37:55","7Rgqrpt1nkTwZiRgxdK5",0
27,"Barri Gòtic","Barri Gòtic","2021-01-20 15:37:57",NULL,NULL,"2021-01-20 15:37:57","2021-01-20 15:37:57","7e8F8fWGL7OPlIPT2T28",0
28,"Retiro","Retiro","2021-01-20 15:37:59",NULL,NULL,"2021-01-20 15:37:59","2021-01-20 15:37:59","Azbpot6NjGKgecsbJvSO",0
29,"Chamartín","Chamartín","2021-01-20 15:38:01",NULL,NULL,"2021-01-20 15:38:01","2021-01-20 15:38:01","BMdyu1ljTjJFeMN5Kcch",0
30,"Malasaña","Malasaña","2021-01-20 15:38:03",NULL,NULL,"2021-01-20 15:38:03","2021-01-20 15:38:03","Iahuv9kvUNtoZUdUCxAd",0
31,"Eixample","Eixample","2021-01-20 15:38:05",NULL,NULL,"2021-01-20 15:38:05","2021-01-20 15:38:05","JHxWBK8YHYWWrNQ8WhcW",0
32,"Lavapies","Lavapies","2021-01-20 15:38:08",NULL,NULL,"2021-01-20 15:38:08","2021-01-20 15:38:08","MSyjgxsIZm9tvikmgQeO",0
33,"Plaça Catalunya","Plaça Catalunya","2021-01-20 15:38:10",NULL,NULL,"2021-01-20 15:38:10","2021-01-20 15:38:10","R0wsmFMHAPnhlzHVy3BE",0
34,"Salamanca","Salamanca","2021-01-20 15:38:12",NULL,NULL,"2021-01-20 15:38:12","2021-01-20 15:38:12","RcUoyUwPKsrE6jBQBnQv",0
35," Sant gervasi"," Sant gervasi","2021-01-20 15:38:15",NULL,NULL,"2021-01-20 15:38:15","2021-01-20 15:38:15","TZBLiO0ojnWdfoRj98Pi",0
36,"El Born","El Born","2021-01-20 15:38:17",NULL,NULL,"2021-01-20 15:38:17","2021-01-20 15:38:17","Xn2xh1b7gbr6bbQHpn1n",0
37,"Barceloneta","Barceloneta","2021-01-20 15:38:19",NULL,NULL,"2021-01-20 15:38:19","2021-01-20 15:38:19","aoDqieJoAPC9sUd8BbDv",0
38,"Diagonal mar","Diagonal mar","2021-01-20 15:38:21",NULL,NULL,"2021-01-20 15:38:21","2021-01-20 15:38:21","b40IZKd3mZYnuksnuxWw",0
39,"Les corts","Les corts","2021-01-20 15:38:23",NULL,NULL,"2021-01-20 15:38:23","2021-01-20 15:38:23","bcdcc2uBQDRlRKfFWKep",0
40,"Sol","Sol","2021-01-20 15:38:25",NULL,NULL,"2021-01-20 15:38:25","2021-01-20 15:38:25","d2Q0KSK53axWeFYMSKos",0
41,"El raval","El raval","2021-01-20 15:38:27",NULL,NULL,"2021-01-20 15:38:27","2021-01-20 15:38:27","eyzm9KP7GtRj1YTd9GUO",0
42,"Plaza España","Plaza España","2021-01-20 15:38:29",NULL,NULL,"2021-01-20 15:38:29","2021-01-20 15:38:29","f1jNYYaMaU2u7VuZ2Upc",0
43,"Chamberí","Chamberí","2021-01-20 15:38:31",NULL,NULL,"2021-01-20 15:38:31","2021-01-20 15:38:31","joICvnizwSGMYfu4tcFr",0
44,"Las letras","Las letras","2021-01-20 15:38:34",NULL,NULL,"2021-01-20 15:38:34","2021-01-20 15:38:34","kTsyYHD1JEg76KJUFL6d",0
45,"Chueca","Chueca","2021-01-20 15:38:36",NULL,NULL,"2021-01-20 15:38:36","2021-01-20 15:38:36","nGh18hP5dbCClgJpLWKe",0
46,"Ventas","Ventas","2021-01-20 15:38:38",NULL,NULL,"2021-01-20 15:38:38","2021-01-20 15:38:38","rAlL7E4qfUuGofS8gHrP",0
47,"el Poble-sec","el Poble-sec","2021-02-16 14:47:51",3,3,"2021-02-16 14:47:48","2021-02-16 14:47:51",NULL,0
48,"Gran Vía","Gran Vía","2021-03-01 15:46:05",3,3,"2021-03-01 15:45:38","2021-03-01 15:46:05",NULL,0
49,"Cuatro Caminos","Cuatro Caminos","2021-03-05 10:22:00",3,3,"2021-03-02 17:10:35","2021-03-05 10:22:00",NULL,0
50,"Valencia","Valencia",NULL,3,3,"2021-03-09 13:08:12","2021-03-09 13:08:12",NULL,0
51,"Marbella","Marbella",NULL,3,3,"2021-03-09 13:08:29","2021-03-09 13:08:29",NULL,0
52,"Legazpi","Legazpi","2021-04-01 16:53:37",1,1,"2021-03-31 10:17:54","2021-04-01 16:53:37",NULL,0
53,"La Moraleja","La Moraleja","2021-04-02 11:05:16",2,2,"2021-04-02 11:05:14","2021-04-02 11:05:16",NULL,0
54,"Ponzano","Ponzano","2021-04-02 11:37:58",2,2,"2021-04-02 11:37:56","2021-04-02 11:37:58",NULL,0
55,"Gràcia","Gràcia","2021-04-21 17:48:57",2,2,"2021-04-21 17:48:55","2021-04-21 17:48:58",NULL,0
56,"Sant Martí","Sant Martí","2021-04-22 20:22:27",2,2,"2021-04-22 20:22:25","2021-04-22 20:22:27",NULL,0
57,"Sant Antoni","Sant Antoni",NULL,2,2,"2021-04-28 21:06:48","2021-04-28 21:06:48",NULL,0
