"id","restaurant_id","vibe_id"
539,119,12
540,119,16
541,119,18
542,119,10
543,120,14
544,120,5
545,120,15
546,120,12
547,120,17
548,120,18
549,120,10
550,120,6
551,121,7
552,122,14
553,122,15
554,122,5
555,122,16
556,123,21
557,123,7
558,123,5
559,124,20
560,124,14
561,124,17
562,124,13
563,125,12
564,126,11
565,126,17
566,126,13
567,126,14
568,126,16
569,126,6
570,126,22
571,127,12
572,127,14
573,127,5
574,128,12
575,128,14
576,128,17
577,128,16
578,129,11
579,129,17
580,129,15
581,129,13
582,129,16
1411,317,7
1509,339,5
1510,339,14
1511,339,21
1512,339,18
1786,400,14
1787,400,11
1788,400,12
1789,400,18
1790,400,10
2046,457,14
2137,479,17
2138,479,11
2139,479,13
2140,479,16
2157,485,11
2158,485,17
2159,485,13
2160,485,16
2161,485,9
2162,485,7
2503,385,11
2504,385,12
2505,385,17
2506,385,13
2507,385,16
2508,385,28
4143,351,17
4144,351,16
4145,351,13
4172,476,12
4173,476,17
4174,476,21
4482,316,5
4483,316,12
4484,316,14
4485,316,21
4486,316,8
4487,316,18
4488,316,7
4489,316,24
4496,366,12
4497,366,17
4498,366,13
4499,366,16
4500,366,7
4501,366,25
4502,341,12
4503,341,14
4504,341,15
4505,341,5
4506,341,13
4507,419,14
4508,419,12
4509,419,15
4510,419,21
4511,504,7
4512,504,11
4513,504,16
4514,504,17
4515,504,5
4532,382,14
4533,382,15
4534,382,5
4535,402,11
4536,402,14
4537,402,17
4538,402,13
4539,402,16
4540,410,15
4541,410,5
4542,410,6
4543,410,21
4544,448,12
4545,448,14
4546,448,17
4547,448,15
4548,448,5
4549,448,7
4550,448,9
4551,448,21
4552,448,25
4553,369,19
4554,369,20
4555,369,12
4556,369,15
4557,369,21
4558,404,30
4559,404,8
4560,404,17
4561,404,12
4562,404,13
4563,404,20
4564,404,16
4565,436,8
4566,436,20
4567,436,5
4568,436,21
4569,436,16
4570,436,15
4571,436,18
4572,383,14
4573,383,5
4574,464,12
4575,464,14
4576,464,17
4577,464,5
4578,464,16
4579,464,9
4580,472,14
4581,472,17
4582,472,13
4583,472,16
4584,356,11
4585,356,17
4586,356,13
4587,356,16
4588,444,11
4589,444,17
4590,444,13
4591,444,16
4592,508,5
4593,508,6
4594,508,7
4595,508,15
4596,508,21
4597,508,10
4598,508,18
4599,469,7
4618,405,20
4619,405,15
4620,405,5
4621,405,16
4622,405,18
4623,405,7
4624,398,5
4625,398,7
4626,398,18
4627,398,21
4628,352,8
4629,352,5
4630,352,21
4631,352,7
4632,425,20
4633,425,17
4634,425,13
4635,425,24
4636,425,25
4637,589,22
4638,589,5
4639,589,15
4640,589,12
4641,589,21
4642,488,12
4643,488,5
4644,488,15
4645,488,18
4646,488,7
4647,488,25
4648,582,5
4649,582,14
4650,582,6
4651,495,5
4652,495,14
4653,495,15
4654,495,6
4655,563,22
4656,563,31
4657,563,5
4658,563,29
4659,563,21
4660,477,5
4661,477,21
4662,477,16
4663,477,18
4664,477,7
4665,477,25
4666,363,12
4667,363,5
4668,363,20
4669,363,14
4670,471,12
4671,471,21
4672,471,16
4673,471,23
4674,471,14
4683,321,5
4684,321,15
4685,321,18
4686,321,21
4687,321,7
4688,357,30
4689,357,5
4690,357,14
4691,357,15
4692,357,12
4693,357,16
4694,499,5
4695,499,8
4696,499,21
4701,360,8
4702,360,5
4703,360,21
4704,360,6
4712,370,5
4713,370,21
4714,370,7
4715,322,12
4716,322,15
4717,322,16
4718,322,17
4719,456,13
4720,456,14
4721,456,18
4722,456,7
4723,456,23
4724,456,24
4725,542,30
4726,542,16
4742,561,22
4743,561,31
4744,561,17
4745,561,18
4746,561,10
4747,552,22
4748,552,6
4749,552,12
4750,552,13
4751,552,14
4752,552,21
4753,424,21
4754,424,7
4755,424,5
4767,447,5
4768,447,6
4769,447,15
4770,447,21
4771,447,18
4772,447,10
4773,491,8
4774,491,5
4775,491,21
4776,491,18
4783,401,11
4784,401,17
4785,401,13
4786,401,16
4787,401,28
4788,585,22
4789,585,5
4790,585,15
4791,585,8
4792,585,21
4793,446,8
4794,446,6
4795,446,15
4796,446,18
4797,446,21
4798,446,25
4799,428,12
4800,428,14
4801,428,5
4802,377,8
4803,377,13
4804,377,14
4805,377,5
4806,377,16
4807,377,21
4808,377,24
4815,579,22
4816,579,12
4817,579,17
4818,579,21
4819,442,12
4820,442,16
4821,442,7
4822,501,11
4823,501,12
4824,501,13
4825,501,14
4826,501,17
4827,501,16
4828,501,24
4829,567,22
4830,567,31
4831,567,5
4832,330,7
4833,502,5
4834,502,7
4835,502,21
4836,340,12
4837,340,14
4838,340,15
4839,340,21
4840,340,16
4841,393,12
4842,393,20
4843,393,23
4844,391,11
4845,391,17
4846,391,13
4847,391,16
4848,391,9
4849,391,28
4855,315,12
4856,315,15
4857,315,5
4865,365,12
4866,365,14
4867,365,5
4872,397,12
4873,397,5
4874,397,21
4875,397,18
4876,397,10
4877,346,12
4878,346,16
4879,346,5
4880,437,20
4881,437,12
4882,437,21
4883,437,7
4884,376,14
4885,376,5
4886,568,22
4887,568,31
4888,568,18
4889,568,26
4890,580,22
4891,580,5
4892,580,26
4893,580,6
4894,580,18
4895,580,10
4896,580,21
4912,564,22
4913,564,31
4914,564,5
4915,564,21
4916,439,17
4917,439,11
4918,439,13
4919,439,16
4920,439,18
4921,439,7
4922,439,25
4923,439,28
4933,475,17
4934,475,16
4935,359,12
4936,359,17
4937,411,12
4938,411,14
4939,411,17
4940,411,5
4941,411,16
4942,373,12
4943,373,14
4944,373,5
4945,334,12
4946,334,5
4947,466,11
4948,466,17
4949,466,13
4950,466,16
4951,361,12
4952,361,14
4953,361,15
4954,361,5
4955,314,12
4956,314,13
4957,314,17
4958,314,23
4959,314,24
4960,314,25
4974,384,11
4975,384,12
4976,384,17
4977,384,13
4978,384,16
4979,371,12
4980,371,15
4981,371,5
4982,371,16
4983,371,7
4984,371,10
4985,371,18
4986,517,23
4987,517,7
4988,517,21
4989,517,5
4997,409,11
4998,409,12
4999,409,17
5000,409,13
5001,409,16
5002,409,7
5003,409,28
5004,329,5
5005,329,12
5006,329,21
5007,329,7
5012,416,5
5013,416,21
5014,416,18
5015,416,7
5016,416,10
5047,572,22
5048,572,8
5049,572,5
5050,572,18
5051,572,10
5052,572,21
5053,572,7
5054,578,7
5055,578,22
5061,355,21
5062,355,5
5063,355,14
5064,355,8
5065,355,6
5066,355,24
5067,494,30
5068,494,16
5069,494,21
5070,494,5
5071,494,15
5072,494,29
5073,412,5
5074,412,21
5075,511,5
5076,511,7
5077,511,8
5078,511,18
5079,511,10
5080,511,21
5081,347,11
5082,347,17
5083,347,16
5099,540,8
5100,540,15
5101,540,21
5102,540,5
5103,540,18
5104,540,10
5105,540,7
5106,395,11
5107,395,17
5108,395,13
5109,395,16
5110,390,5
5111,534,8
5112,534,21
5113,534,5
5114,534,15
5115,534,18
5116,534,10
5117,539,5
5118,539,8
5119,539,21
5120,539,15
5121,539,18
5122,539,7
5123,432,5
5124,432,6
5125,432,18
5126,432,14
5127,432,24
5128,432,10
5129,418,5
5130,418,21
5131,422,7
5132,587,22
5133,587,5
5134,587,6
5135,587,16
5136,587,18
5137,587,10
5138,587,32
5139,449,7
5140,332,11
5141,332,17
5142,332,13
5143,332,7
5144,332,9
5145,560,22
5146,560,31
5147,560,21
5148,560,5
5149,560,15
5150,367,11
5151,367,12
5152,367,17
5153,367,13
5154,367,16
5155,435,17
5156,435,11
5157,435,13
5158,435,16
5159,435,28
5160,482,12
5161,482,15
5162,392,7
5163,392,25
5164,325,7
5165,569,11
5166,569,17
5167,569,13
5168,569,7
5169,569,9
5170,569,22
5171,433,12
5172,433,15
5173,433,17
5174,433,7
5175,433,9
5187,566,22
5188,566,31
5189,566,17
5190,566,18
5191,566,10
5192,566,21
5193,566,7
5194,348,5
5195,348,12
5196,438,14
5197,438,17
5198,438,13
5199,438,16
5200,438,24
5201,526,30
5202,526,16
5203,526,7
5204,526,21
5205,350,17
5206,350,11
5207,350,13
5208,350,16
5209,350,9
5210,350,28
5211,335,15
5212,335,5
5213,335,12
5214,335,21
5215,553,22
5216,553,23
5217,553,7
5218,553,21
5219,553,5
5225,458,30
5226,458,16
5227,458,11
5228,458,13
5229,458,17
5230,458,7
5231,474,12
5232,474,17
5233,474,15
5234,443,11
5235,443,17
5236,443,13
5237,443,16
5238,443,28
5245,440,12
5246,440,17
5247,440,13
5248,440,16
5249,440,7
5250,440,28
5257,556,22
5258,556,18
5259,556,21
5260,556,12
5261,556,15
5262,324,5
5263,324,12
5264,324,16
5265,324,18
5266,324,7
5267,324,10
5268,555,22
5269,555,21
5270,555,12
5271,555,15
5272,459,11
5273,459,17
5274,459,13
5275,459,16
5276,459,9
5277,459,28
5284,470,11
5285,470,17
5286,470,13
5287,470,16
5288,333,11
5289,333,17
5290,333,13
5291,333,16
5292,333,28
5293,378,14
5294,378,16
5295,378,5
5296,378,15
5297,498,7
5298,498,19
5299,498,25
5300,480,7
5301,480,25
5302,318,11
5303,318,17
5304,318,13
5305,318,16
5306,344,12
5307,344,15
5308,344,20
5309,344,21
5310,344,23
5311,406,14
5312,406,17
5313,406,5
5314,406,13
5315,406,16
5316,406,28
5321,379,17
5322,379,11
