"id","name_es","name_en","legacy_id","isDisabled","published_at","created_by","updated_by","created_at","updated_at"
1,"Para ir con amigos","To go with friends","4TWCAuhu59BrsqmNb63F",0,"2021-01-21 21:54:08",NULL,NULL,"2021-01-21 21:54:08","2021-01-21 21:54:08"
2,"Lista OAD","OAD List","F8WtRU5htrqMRc9g9tcR",0,"2021-01-21 21:54:17",NULL,NULL,"2021-01-21 21:54:17","2021-01-21 21:54:17"
3,"❄️ Terraza Cubierta","❄️ Covered Outdoor Seating","GFKaHfOmCDKu8v30LFOD",0,"2021-01-21 21:54:19",NULL,NULL,"2021-01-21 21:54:19","2021-01-21 21:54:19"
4,"Lujoso","Fancy","MAzbuuE41EY7m7w7vnQh",0,"2021-01-21 21:54:24",NULL,NULL,"2021-01-21 21:54:24","2021-01-21 21:54:24"
5,"De producto","Ingredient focused","N9Onrs1jnMQv32SWOvGq",0,"2021-01-21 21:54:26",NULL,NULL,"2021-01-21 21:54:26","2021-01-21 21:54:26"
6,"Romántico","Romantic","RHyMv3pkKtAWdg4KoXM9",0,"2021-01-21 21:54:28",NULL,NULL,"2021-01-21 21:54:28","2021-01-21 21:54:28"
7,"De moda","Trendy","RJqpwvWzrFa0P9KRhEmf",0,"2021-01-21 21:54:30",NULL,NULL,"2021-01-21 21:54:30","2021-01-21 21:54:30"
8,"De barra","Counter","UI4cOfcCwe29NseryK8m",0,"2021-01-21 21:54:32",NULL,NULL,"2021-01-21 21:54:32","2021-01-21 21:54:32"
9,"Buenos vinos","Good wines","VSvSPRzqrekrNrZ15mkd",0,"2021-01-21 21:54:34",NULL,NULL,"2021-01-21 21:54:34","2021-01-21 21:54:34"
10,"Ocasiones Especiales","Special Occasions","XZwrrVzN3nzJKvCewDTj",0,"2021-01-21 21:54:36",NULL,NULL,"2021-01-21 21:54:36","2021-01-21 21:54:36"
11,"Con Terraza","Outdoor seating","lzD4zZzYYl251JCuDPXy",0,"2021-01-21 21:54:38",NULL,NULL,"2021-01-21 21:54:38","2021-01-21 21:54:38"
12,"Puesto de Mercado","In a Market","nqDQbnvuWMTOE4j1Xso9",0,"2021-01-21 21:54:40",NULL,NULL,"2021-01-21 21:54:40","2021-01-21 21:54:40"
13,"De mercado","Market Kitchen","pesafLiOcXz0ann1XtBb",0,"2021-01-21 21:54:42",NULL,NULL,"2021-01-21 21:54:42","2021-01-21 21:54:42"
14,"Menos de 50€","Under 50€","uVmTxOn7CKdsoyCNrvNc",0,"2021-01-21 21:54:44",NULL,NULL,"2021-01-21 21:54:44","2021-01-21 21:54:44"
15,"✨ Nuevos en Velada","✨ New to Velada","yWRWrF74nTnigXVmUfls",0,"2021-01-21 21:54:47",NULL,NULL,"2021-01-21 21:54:47","2021-01-21 21:54:47"
