"id","name_es","name_en","legacy_id","isDisabled","published_at","created_by","updated_by","created_at","updated_at"
5,"Para ir con amigos","To go with friends","4TWCAuhu59BrsqmNb63F",0,"2021-01-20 14:31:05",NULL,NULL,"2021-01-20 14:31:05","2021-01-20 14:31:05"
6,"🍸 Buenos cocktails","🍸 Good cocktails","6Kp3f5TQM6oFY8uVQrK5",0,"2021-01-20 14:31:07",NULL,NULL,"2021-01-20 14:31:07","2021-01-20 14:31:07"
7,"🛵 Delivery","🛵 Delivery","7Giq51I4VkVKFKEX8sQ8",0,"2021-01-20 14:31:09",NULL,NULL,"2021-01-20 14:31:09","2021-01-20 14:31:09"
8,"🔥 Primera cita","🔥 First date","C1eFcsmPlZFwBPU6zqMt",0,"2021-01-20 14:31:11",NULL,2,"2021-01-20 14:31:11","2021-04-21 19:41:47"
9,"Lista OAD","OAD List","F8WtRU5htrqMRc9g9tcR",0,NULL,NULL,NULL,"2021-01-20 14:31:13","2021-02-21 21:47:45"
10,"🌧 Terraza Cubierta","🌧 Covered outdoor seating","GFKaHfOmCDKu8v30LFOD",0,"2021-01-20 14:31:16",NULL,2,"2021-01-20 14:31:16","2021-04-21 19:42:11"
11,"Lujoso","Fancy","MAzbuuE41EY7m7w7vnQh",0,"2021-01-20 14:31:18",NULL,NULL,"2021-01-20 14:31:18","2021-01-20 14:31:18"
12,"De producto","Ingredient focused","N9Onrs1jnMQv32SWOvGq",0,"2021-01-20 14:31:20",NULL,NULL,"2021-01-20 14:31:20","2021-01-20 14:31:20"
13,"Romántico","Romantic","RHyMv3pkKtAWdg4KoXM9",0,"2021-01-20 14:31:22",NULL,NULL,"2021-01-20 14:31:22","2021-01-20 14:31:22"
14,"De moda","Trendy","RJqpwvWzrFa0P9KRhEmf",0,"2021-01-20 14:31:24",NULL,NULL,"2021-01-20 14:31:24","2021-01-20 14:31:24"
15,"De barra","Counter seating","UI4cOfcCwe29NseryK8m",0,"2021-01-20 14:31:26",NULL,2,"2021-01-20 14:31:26","2021-04-21 19:39:50"
16,"Buenos vinos","Good wines","VSvSPRzqrekrNrZ15mkd",0,"2021-01-20 14:31:28",NULL,2,"2021-01-20 14:31:28","2021-04-21 19:41:39"
17,"Ocasiones Especiales","Special occasions","XZwrrVzN3nzJKvCewDTj",0,"2021-01-20 14:31:30",NULL,2,"2021-01-20 14:31:30","2021-04-21 19:40:04"
18,"☀️ Con Terraza","☀️ Outdoor seating","lzD4zZzYYl251JCuDPXy",0,"2021-01-20 14:31:32",NULL,1,"2021-01-20 14:31:32","2021-03-29 11:38:06"
19,"Puesto de Mercado","In a market","nqDQbnvuWMTOE4j1Xso9",0,"2021-01-20 14:31:34",NULL,2,"2021-01-20 14:31:34","2021-04-21 19:41:55"
20,"De mercado","Market kitchen","pesafLiOcXz0ann1XtBb",0,"2021-01-20 14:31:37",NULL,2,"2021-01-20 14:31:37","2021-04-21 19:39:56"
21,"Menos de 50€","Under 50€","uVmTxOn7CKdsoyCNrvNc",0,"2021-01-20 14:31:39",NULL,NULL,"2021-01-20 14:31:39","2021-01-20 14:31:39"
22,"✨ Nuevos en Velada","✨ New to Velada","yWRWrF74nTnigXVmUfls",0,"2021-01-20 14:31:41",NULL,NULL,"2021-01-20 14:31:41","2021-01-20 14:31:41"
23,"🦖 Gastro Godzilla","🦖 Gastro Godzilla","H39MiwmWKcT9biVcgkkm",0,"2021-01-21 21:56:55",NULL,NULL,"2021-01-21 21:56:55","2021-01-21 21:56:55"
24,"💛 #SantaVelada","💛 #SantaVelada",NULL,0,NULL,2,2,"2021-02-04 21:29:23","2021-02-16 15:28:12"
25,"🎈#SantaVelada Delivery","🎈#SantaVelada Delivery",NULL,0,NULL,2,2,"2021-02-04 21:31:47","2021-02-16 15:28:17"
26,"Ideal para brunch","Good for brunch",NULL,1,"2021-04-13 08:41:27",3,3,"2021-02-11 16:22:07","2021-04-13 08:41:27"
27,"Vegetariano","Vegetarian",NULL,1,NULL,3,3,"2021-02-16 15:14:46","2021-02-16 15:14:46"
28,"🌟 Con estrellas Michelín","🌟Michelin stars",NULL,0,"2021-02-16 17:20:31",2,2,"2021-02-16 16:57:04","2021-02-16 17:20:31"
29,"Wine Bar","Wine bar",NULL,0,"2021-03-05 10:22:12",3,2,"2021-03-01 14:37:53","2021-04-21 19:41:12"
30,"🍷Colectivo Decantado","🍷Colectivo Decantado",NULL,0,"2021-03-05 14:22:26",3,3,"2021-03-01 14:55:04","2021-03-05 14:22:26"
31,"👫🏽 The Sybarites","👫🏽 The Sybarites",NULL,0,"2021-04-01 16:51:20",2,2,"2021-03-30 14:03:36","2021-04-01 16:59:06"
32,"Buenas vistas","Good views",NULL,0,NULL,2,2,"2021-04-21 19:57:11","2021-04-21 19:57:11"
33,"Para ir con padres","To go with parents",NULL,0,NULL,2,2,"2021-04-30 02:58:32","2021-04-30 02:58:55"
34,"Philippe Regol","Philippe Regol",NULL,0,NULL,2,2,"2021-05-06 01:13:48","2021-05-06 01:13:48"
35,"Buena tortilla","Great tortilla",NULL,0,NULL,2,2,"2021-05-06 01:21:35","2021-05-06 01:21:35"
