,restaurant_id,user_id,is_positive
1,0,4,True
3,0,6,True
5,0,14,True
7,0,18,True
8,0,43,True
11,0,61,True
19,0,127,True
21,0,142,True
25,0,185,True
28,0,205,True
31,0,256,True
35,0,316,True
37,0,324,True
41,0,368,True
43,0,389,True
47,0,427,True
50,0,442,True
54,0,471,True
59,0,487,True
62,0,535,True
63,0,537,True
64,0,550,True
65,0,568,True
66,0,589,True
67,0,593,True
73,0,600,True
77,0,674,True
79,0,703,True
81,0,716,True
82,0,721,True
86,0,754,True
87,0,757,True
89,0,764,True
90,0,782,True
91,0,783,True
93,0,785,True
95,0,789,True
97,0,792,True
98,0,796,True
100,0,807,True
106,0,879,True
112,0,925,True
116,0,943,True
119,0,956,True
121,0,999,True
123,0,1003,True
125,0,1007,True
129,0,1040,True
130,0,1044,True
131,0,1048,True
135,0,1084,True
137,0,1105,True
138,0,1137,True
139,0,1149,True
140,0,1156,True
144,0,1164,True
147,0,1191,True
151,0,1224,True
152,0,1247,True
159,0,1295,True
162,0,1377,True
166,0,1392,True
168,0,1393,True
172,0,1426,True
173,0,1428,True
176,0,1467,True
178,0,1469,True
180,0,1476,True
182,0,1491,True
185,0,1529,True
186,0,1536,True
188,0,1537,True
191,0,1588,True
201,0,1720,True
202,0,1737,True
204,0,1748,True
206,0,1752,True
209,0,1765,True
210,0,1773,True
214,0,1840,True
216,0,1855,True
219,0,1862,True
220,0,1863,True
221,0,1941,True
222,0,1942,True
224,0,1987,True
227,0,2003,True
229,0,2031,True
230,0,2039,True
236,0,2099,True
238,0,2184,True
239,0,2187,True
241,0,2225,True
242,0,2230,True
243,0,2237,True
249,0,2379,True
250,0,2388,True
252,0,2401,True
255,0,2426,True
256,0,2435,True
257,0,2445,True
261,0,2490,True
262,0,2491,True
269,0,2795,True
271,0,2805,True
276,0,2899,True
278,0,2949,True
279,0,2952,True
280,0,2963,True
282,0,2983,True
283,0,3021,True
286,0,3108,True
288,0,3110,True
293,0,3118,True
296,0,3128,True
302,0,3163,True
304,0,3210,True
308,0,3243,True
309,0,3250,True
311,0,3279,True
314,0,3303,True
315,0,3308,True
317,0,3337,True
320,0,3390,True
325,0,3418,True
327,0,3440,True
328,0,3504,True
331,0,3580,True
332,0,3648,True
337,0,3744,True
339,0,3760,True
342,0,3822,True
346,0,3911,True
349,0,3964,True
351,0,4010,True
355,0,4031,True
357,0,4033,True
360,0,4059,True
362,0,4177,True
363,0,4224,True
365,0,4249,True
367,0,4256,True
370,0,4328,True
372,0,4429,True
376,0,4453,True
381,0,4530,True
384,0,4577,True
386,0,4630,True
388,0,4681,True
391,0,4975,True
392,0,4977,True
395,0,5023,True
404,0,5152,True
405,0,5153,True
407,0,5238,True
409,0,5342,True
411,0,5344,True
413,0,5431,True
415,0,5441,True
424,0,5620,True
426,0,5625,True
429,0,5672,True
436,0,5850,True
438,0,5959,True
440,0,5972,True
441,0,5995,True
443,0,6011,True
446,0,6040,True
449,0,6232,True
450,0,6247,True
452,0,6254,True
453,0,6255,True
455,0,6285,True
457,0,6468,True
458,0,6502,True
464,0,6667,True
465,0,6672,True
467,0,6680,True
469,0,6692,True
471,0,6719,True
473,0,6733,True
475,0,6820,True
476,0,6834,True
479,0,6846,True
482,0,6900,True
483,0,6907,True
485,0,6963,True
487,0,6969,True
489,0,7060,True
491,0,7061,True
495,0,7133,True
496,0,7209,True
498,0,7230,True
500,0,7262,True
501,0,7264,True
503,0,7276,True
504,0,7304,True
508,0,7440,True
510,0,7494,True
513,1,7,True
514,1,43,True
517,1,127,True
522,1,535,True
525,1,956,True
526,1,1227,True
530,1,1327,True
531,1,1393,True
533,1,1573,True
534,1,1620,True
535,1,1643,True
536,1,1738,True
537,1,2071,True
544,1,3363,True
545,1,3390,True
546,1,3550,True
551,1,5918,True
552,1,6048,True
554,1,6477,True
555,1,6667,True
556,1,6733,True
559,1,7067,True
563,2,11,True
565,2,62,True
567,2,68,True
569,2,70,True
573,2,138,True
574,2,147,True
577,2,184,True
578,2,185,True
580,2,218,True
581,2,234,True
582,2,252,True
587,2,360,True
589,2,375,True
591,2,394,True
592,2,428,True
593,2,459,True
595,2,479,True
596,2,483,True
597,2,484,True
603,2,551,True
604,2,586,True
